CO2,Pressure,Temperature,Humidity, Room, Position, Sensor ID,time
423,97081,29.8,24.713,none,Calibration,B8:27:EB:34:50:CA,1675871674
445,97088,30.197,18.675,none,Calibration,B8:27:EB:86:0C:42,1675871677
426,97073,30.315,18.959,none,Calibration,7C:3F:E7:16:00:69,1675871739
436,97075,30.27,19.273,none,Calibration,B8:27:EB:B1:D5:C6,1675871741
424,97085,30.0,25.308,none,Calibration,B8:27:EB:98:CF:BA,1675871744
431,97089,28.991,19.783,none,Calibration,B8:27:EB:0F:85:C3,1675871746
425,97074,29.816,24.781,none,Calibration,B8:27:EB:34:50:CA,1675871748
443,97075,30.214,18.71,none,Calibration,B8:27:EB:86:0C:42,1675871749
426,97066,30.352,18.969,none,Calibration,7C:3F:E7:16:00:69,1675871813
437,97064,30.336,19.29,none,Calibration,B8:27:EB:B1:D5:C6,1675871815
422,97094,30.035,25.34,none,Calibration,B8:27:EB:98:CF:BA,1675871816
435,97079,29.023,19.822,none,Calibration,B8:27:EB:0F:85:C3,1675871818
427,97083,29.808,24.774,none,Calibration,B8:27:EB:34:50:CA,1675871819
444,97082,30.208,18.728,none,Calibration,B8:27:EB:86:0C:42,1675871821
426,97061,30.358,18.991,none,Calibration,7C:3F:E7:16:00:69,1675871883
440,97078,30.31,19.354,none,Calibration,B8:27:EB:B1:D5:C6,1675871884
432,97090,30.053,25.332,none,Calibration,B8:27:EB:98:CF:BA,1675871886
,,,none,Calibration,B8:27:EB:0F:85:C3,1675871886
427,97089,29.826,24.819,none,Calibration,B8:27:EB:34:50:CA,1675871888
445,97087,30.264,18.762,none,Calibration,B8:27:EB:86:0C:42,1675871890
467,97080,30.36,18.966,none,Calibration,7C:3F:E7:16:00:69,1675871951
467,97070,30.32,19.328,none,Calibration,B8:27:EB:B1:D5:C6,1675871953
531,97099,30.061,25.347,none,Calibration,B8:27:EB:98:CF:BA,1675871955
455,97096,28.988,19.853,none,Calibration,B8:27:EB:0F:85:C3,1675871956
506,97080,29.842,24.803,none,Calibration,B8:27:EB:34:50:CA,1675871958
457,97089,30.251,18.759,none,Calibration,B8:27:EB:86:0C:42,1675871960
605,97064,30.406,19.001,none,Calibration,7C:3F:E7:16:00:69,1675872022
580,97078,30.347,19.335,none,Calibration,B8:27:EB:B1:D5:C6,1675872023
672,97092,30.077,25.381,none,Calibration,B8:27:EB:98:CF:BA,1675872025
595,97090,28.988,19.935,none,Calibration,B8:27:EB:0F:85:C3,1675872027
704,97095,29.824,24.855,none,Calibration,B8:27:EB:34:50:CA,1675872028
564,97098,30.24,18.785,none,Calibration,B8:27:EB:86:0C:42,1675872030
768,97081,30.387,19.009,none,Calibration,7C:3F:E7:16:00:69,1675872091
755,97082,30.339,19.396,none,Calibration,B8:27:EB:B1:D5:C6,1675872093
848,97099,30.077,25.402,none,Calibration,B8:27:EB:98:CF:BA,1675872095
742,97095,29.044,19.949,none,Calibration,B8:27:EB:0F:85:C3,1675872096
868,97086,29.85,24.884,none,Calibration,B8:27:EB:34:50:CA,1675872099
715,97083,30.267,18.82,none,Calibration,B8:27:EB:86:0C:42,1675872101
904,97076,30.44,19.029,none,Calibration,7C:3F:E7:16:00:69,1675872163
919,97066,30.363,19.413,none,Calibration,B8:27:EB:B1:D5:C6,1675872164
1018,97098,30.109,25.411,none,Calibration,B8:27:EB:98:CF:BA,1675872166
884,97095,29.009,19.982,none,Calibration,B8:27:EB:0F:85:C3,1675872168
1036,97080,29.834,24.885,none,Calibration,B8:27:EB:34:50:CA,1675872169
876,97092,30.31,18.826,none,Calibration,B8:27:EB:86:0C:42,1675872171
1043,97065,30.427,19.05,none,Calibration,7C:3F:E7:16:00:69,1675872234
1035,97084,30.368,19.424,none,Calibration,B8:27:EB:B1:D5:C6,1675872235
1126,97092,30.144,25.44,none,Calibration,B8:27:EB:98:CF:BA,1675872237
1020,97086,29.025,19.999,none,Calibration,B8:27:EB:0F:85:C3,1675872239
1149,97096,29.861,24.914,none,Calibration,B8:27:EB:34:50:CA,1675872240
,,,none,Calibration,B8:27:EB:86:0C:42,1675872241
1164,97083,30.422,19.033,none,Calibration,7C:3F:E7:16:00:69,1675872303
1159,97072,30.371,19.413,none,Calibration,B8:27:EB:B1:D5:C6,1675872305
1223,97104,30.144,25.422,none,Calibration,B8:27:EB:98:CF:BA,1675872306
1148,97102,29.015,20.028,none,Calibration,B8:27:EB:0F:85:C3,1675872308
1235,97088,29.848,24.926,none,Calibration,B8:27:EB:34:50:CA,1675872309
1143,97097,30.294,18.867,none,Calibration,B8:27:EB:86:0C:42,1675872311
1254,97068,30.44,19.061,none,Calibration,7C:3F:E7:16:00:69,1675872373
1275,97083,30.374,19.429,none,Calibration,B8:27:EB:B1:D5:C6,1675872375
1307,97097,30.128,25.445,none,Calibration,B8:27:EB:98:CF:BA,1675872377
1251,97094,29.033,20.014,none,Calibration,B8:27:EB:0F:85:C3,1675872378
1313,97094,29.853,24.903,none,Calibration,B8:27:EB:34:50:CA,1675872380
1252,97101,30.318,18.869,none,Calibration,B8:27:EB:86:0C:42,1675872382
1322,97071,30.457,19.061,none,Calibration,7C:3F:E7:16:00:69,1675872443
,,,none,Calibration,B8:27:EB:B1:D5:C6,1675872444
1375,97101,30.189,25.437,none,Calibration,B8:27:EB:98:CF:BA,1675872445
1329,97099,29.06,20.05,none,Calibration,B8:27:EB:0F:85:C3,1675872447
1369,97098,29.874,24.913,none,Calibration,B8:27:EB:34:50:CA,1675872448
1345,97084,30.312,18.879,none,Calibration,B8:27:EB:86:0C:42,1675872450
1386,97076,30.505,19.052,none,Calibration,7C:3F:E7:16:00:69,1675872512
1423,97070,30.382,19.439,none,Calibration,B8:27:EB:B1:D5:C6,1675872513
,,,none,Calibration,B8:27:EB:98:CF:BA,1675872513
1388,97089,29.057,20.05,none,Calibration,B8:27:EB:0F:85:C3,1675872515
1426,97078,29.901,24.938,none,Calibration,B8:27:EB:34:50:CA,1675872517
1406,97095,30.32,18.869,none,Calibration,B8:27:EB:86:0C:42,1675872518
1438,97067,30.478,19.05,none,Calibration,7C:3F:E7:16:00:69,1675872580
1475,97083,30.392,19.456,none,Calibration,B8:27:EB:B1:D5:C6,1675872582
1482,97090,30.195,25.437,none,Calibration,B8:27:EB:98:CF:BA,1675872583
1436,97085,29.06,20.066,none,Calibration,B8:27:EB:0F:85:C3,1675872585
1460,97090,29.877,24.938,none,Calibration,B8:27:EB:34:50:CA,1675872587
1465,97083,30.342,18.879,none,Calibration,B8:27:EB:86:0C:42,1675872589
1484,97078,30.515,19.052,none,Calibration,7C:3F:E7:16:00:69,1675872651
1525,97067,30.408,19.464,none,Calibration,B8:27:EB:B1:D5:C6,1675872652
1529,97103,30.179,25.447,none,Calibration,B8:27:EB:98:CF:BA,1675872654
1490,97100,29.06,20.056,none,Calibration,B8:27:EB:0F:85:C3,1675872655
1496,97081,29.89,24.943,none,Calibration,B8:27:EB:34:50:CA,1675872657
1517,97097,30.344,18.869,none,Calibration,B8:27:EB:86:0C:42,1675872659
