480,97092,29.185,18.394,4A-027,Calibration,C6:DA:C4:A8:1E:16,1675861794
461,97093,28.977,17.724,4A-027,Calibration,C6:DA:C4:A8:1E:12,1675861857
492,97111,29.169,18.455,4A-027,Calibration,C6:DA:C4:A8:1E:03,1675861859
522,97078,29.308,17.869,4A-027,Calibration,C6:DA:C4:A8:1E:15,1675861861
482,97094,29.274,18.542,4A-027,Calibration,C6:DA:C4:A8:1E:16,1675861863
465,97094,29.004,17.926,4A-027,Calibration,C6:DA:C4:A8:1E:12,1675861925
495,97096,29.217,18.589,4A-027,Calibration,C6:DA:C4:A8:1E:03,1675861927
527,97089,29.338,18.055,4A-027,Calibration,C6:DA:C4:A8:1E:15,1675861929
484,97083,29.266,18.688,4A-027,Calibration,C6:DA:C4:A8:1E:16,1675861931
470,97091,29.012,18.115,4A-027,Calibration,C6:DA:C4:A8:1E:12,1675861993
496,97114,29.231,18.716,4A-027,Calibration,C6:DA:C4:A8:1E:03,1675861995
527,97081,29.351,18.211,4A-027,Calibration,C6:DA:C4:A8:1E:15,1675861997
487,97095,29.271,18.797,4A-027,Calibration,C6:DA:C4:A8:1E:16,1675861999
467,97100,29.028,18.281,4A-027,Calibration,C6:DA:C4:A8:1E:12,1675862063
495,97098,29.217,18.795,4A-027,Calibration,C6:DA:C4:A8:1E:03,1675862065
529,97086,29.351,18.377,4A-027,Calibration,C6:DA:C4:A8:1E:15,1675862066
491,97084,29.25,18.896,4A-027,Calibration,C6:DA:C4:A8:1E:16,1675862068
468,97092,29.036,18.443,4A-027,Calibration,C6:DA:C4:A8:1E:12,1675862131
494,97106,29.225,18.896,4A-027,Calibration,C6:DA:C4:A8:1E:03,1675862133
530,97091,29.378,18.473,4A-027,Calibration,C6:DA:C4:A8:1E:15,1675862135
488,97100,29.242,19.015,4A-027,Calibration,C6:DA:C4:A8:1E:16,1675862137
461,97092,29.047,18.592,4A-027,Calibration,C6:DA:C4:A8:1E:12,1675862200
490,97105,29.268,18.942,4A-027,Calibration,C6:DA:C4:A8:1E:03,1675862201
527,97085,29.362,18.623,4A-027,Calibration,C6:DA:C4:A8:1E:15,1675862203
